continent,age,year,starter_capital_mean_eur,starter_capital_median_eur
Europe,18-24,2023,2000,800
Europe,25-34,2023,9000,3600
Europe,35-44,2023,22000,8800
Europe,45-54,2023,35000,14000
Europe,55-64,2023,40000,16000
Europe,65+,2023,35000,14000
Asia,18-24,2023,800,320
Asia,25-34,2023,4000,1600
Asia,35-44,2023,10000,4000
Asia,45-54,2023,16000,6400
Asia,55-64,2023,18000,7200
Asia,65+,2023,15000,6000
North America,18-24,2023,3500,1400
North America,25-34,2023,15000,6000
North America,35-44,2023,35000,14000
North America,45-54,2023,55000,22000
North America,55-64,2023,60000,24000
North America,65+,2023,50000,20000
South America,18-24,2023,1000,400
South America,25-34,2023,5000,2000
South America,35-44,2023,12000,4800
South America,45-54,2023,20000,8000
South America,55-64,2023,22000,8800
South America,65+,2023,18000,7200
Africa,18-24,2023,300,120
Africa,25-34,2023,1500,600
Africa,35-44,2023,4000,1600
Africa,45-54,2023,7000,2800
Africa,55-64,2023,8000,3200
Africa,65+,2023,7000,2800
Oceania,18-24,2023,2500,1000
Oceania,25-34,2023,12000,4800
Oceania,35-44,2023,30000,12000
Oceania,45-54,2023,50000,20000
Oceania,55-64,2023,55000,22000
Oceania,65+,2023,45000,18000
